餐廳名稱,留言者,留言者身分,留言時間,星級評等,評論內容,留言者ID
牡蠣大叔（武聖夜市點）,籽籽,22 則評論 · 7 張相片,1 年前,5 顆星,生蠔150$有11顆，每一顆都超大超肥而且鮮甜不腥，吃完念念不忘，真的大推🤤 …,https://www.google.com/maps/contrib/100109155083911367610/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Lee1945 Kf14,在地嚮導 · 43 則評論 · 309 張相片,1 年前,5 顆星,,https://www.google.com/maps/contrib/113400252543657612443/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,張羽彤,"在地嚮導 · 565 則評論 · 2,901 張相片",1 年前,5 顆星,好吃,https://www.google.com/maps/contrib/103122458737120084950/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,林聖國,,2 年前,1 顆星,,https://www.google.com/maps/contrib/113902840053259141157/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,翔,7 則評論 · 2 張相片,2 年前,1 顆星,"點蛤蜊來牡蠣就算了
牡蠣烤的乾巴巴超小顆
點了竹莢魚一夜干還沒烤熟==
有夠雷",https://www.google.com/maps/contrib/114895130944640781739/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,陳崎豐（神•馬東石）,"在地嚮導 · 310 則評論 · 3,169 張相片",2 年前,5 顆星,"來➰學長看這邊😂
學長：你要幹嘛❗️
我：幫你打卡啦😂😂😂

學長什麼時候變這麼害羞了😂

突然覺得我拍食物的功力好像又變更好了❤️
學長說「看夠不夠，吃完不夠跟我說👍」
這蚵仔的品質，學長總是拿捏得死死的🥇
🈵️🈵️的鮮味❤️

#牡蠣大叔
#蚵男
#烤蚵
#台南名產
#七股海域

#鋅 #蚵男 #烤蚵 #七股 #台南 #武聖 #海安路 #熱炒 #走起 #台南名產 #海鮮🦞 #鹽行夜市 #善化夜市 #武聖夜市 #KEVIN #武聖路 #文賢路 #金點子 #兩元關東煮",https://www.google.com/maps/contrib/114108762257658579077/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,廖毓齡,9 則評論,2 年前,5 顆星,新鮮，美味,https://www.google.com/maps/contrib/110214825546104869293/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,蔡永霖,在地嚮導 · 8 則評論 · 6 張相片,2 年前,5 顆星,,https://www.google.com/maps/contrib/107091665841182734285/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,凱文雅樹,2 則評論,2 年前,5 顆星,"平價又提供多樣海鮮燒物的夜市燒烤攤
魚類一夜干是白飯殺手
隱藏版是秋刀魚一夜干，可遇不可求！",https://www.google.com/maps/contrib/112353377679687414812/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Ching En Tung,在地嚮導 · 182 則評論 · 253 張相片,2 年前,1 顆星,"點一份蛤蜊 來牡蠣  跟店家反映
店家表示 ：這是蛤蜊阿
睜眼說瞎話  自己賣什麼不知道🙄

可能自知理虧吧 換了下圖的""真正蛤蜊""
蛤蜊又超鹹...不要欺負觀光客欸

來夜市第一站就踩雷🥴
好好的一趟台南之旅 興致被毀一半😢",https://www.google.com/maps/contrib/117089180833214999189/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Tommy,在地嚮導 · 6 則評論 · 14 張相片,2 年前,5 顆星,,https://www.google.com/maps/contrib/103587832542434125901/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,顧庭愷,在地嚮導 · 67 則評論 · 215 張相片,3 年前,1 顆星,"店員連他們賣什麼都不清楚，員工訓練待加強
點蛤蜊結果上來生蠔，拿去問店員還說我們的蛤蜊就是生蠔？？？
如果你們賣的是蛤蜊，麻煩把招牌換一換，不要欺騙消費者",https://www.google.com/maps/contrib/112924990419749973332/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Kuanwei Chen,在地嚮導 · 131 則評論 · 143 張相片,3 年前,5 顆星,晚上大約6:00多之後才開。鮮蚵肥美，蛤蜊大顆也鮮美。,https://www.google.com/maps/contrib/108386557977405690787/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,李冠陞,在地嚮導 · 134 則評論 · 619 張相片,3 年前,5 顆星,好吃 CP值高,https://www.google.com/maps/contrib/115290285679130494863/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,連俊傑,5 則評論 · 1 張相片,3 年前,5 顆星,"價位。菜品
5顆星
來武聖夜市必吃小品",https://www.google.com/maps/contrib/115786794425691914804/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Susan Hu,"在地嚮導 · 338 則評論 · 1,139 張相片",3 年前,5 顆星,超級無敵大推薦的店，以前第一次來台南吃到後非常驚艷！這次來台南想說一定要再來吃👍🏻一盤$100有九顆，都是鮮嫩多汁的大鮮蚵，老闆也很親切，推薦大家來吃！ …,https://www.google.com/maps/contrib/107151898364988038126/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,顏鈺芳,在地嚮導 · 17 則評論 · 34 張相片,3 年前,5 顆星,100塊的烤鮮蚵！有11顆非常大顆美味～,https://www.google.com/maps/contrib/110003258891022323075/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,郭于婷,在地嚮導 · 15 則評論 · 57 張相片,3 年前,5 顆星,,https://www.google.com/maps/contrib/109545527805025249524/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Baijee Lin,在地嚮導 · 73 則評論 · 77 張相片,3 年前,5 顆星,蚵仔都很新鮮，店員態度很好。,https://www.google.com/maps/contrib/110042759726073563312/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,奕升黃,在地嚮導 · 155 則評論 · 34 張相片,3 年前,5 顆星,生蠔現烤現吃最新鮮,https://www.google.com/maps/contrib/118093561099503192528/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Jennifer Chen,在地嚮導 · 47 則評論 · 25 張相片,3 年前,5 顆星,蛤蜊湯很鮮甜，秋刀魚一夜干烤得恰到好處，魚皮脆魚肉甜，每次來武聖夜市都會去吃，超推薦！,https://www.google.com/maps/contrib/107757852681221356148/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,陳彥鈞,在地嚮導 · 65 則評論 · 16 張相片,3 年前,5 顆星,搬家了！但是離原本的點不遠，好吃！！,https://www.google.com/maps/contrib/103655226985668853861/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,彭建華,7 則評論 · 1 張相片,4 年前,5 顆星,生蠔新鮮又不腥 好吃,https://www.google.com/maps/contrib/116835959113807943982/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,傑斯,在地嚮導 · 54 則評論 · 135 張相片,4 年前,4 顆星,烤生蠔一份7顆一百元蠻划算的，雖然不是很大顆但吃起來味道還蠻鮮甜的，有座位可以好好坐著吃加分，可惜沒順便戴瓶啤酒配啊，在夜市走累了推薦來吃吃順便坐著休息一下呦,https://www.google.com/maps/contrib/115943565899315571609/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Megan,在地嚮導 · 108 則評論 · 82 張相片,4 年前,5 顆星,"蚵仔鮮甜好吃
完全不用任何醬料來點綴
直接打開吃就是了
有空再去找你們吃
謝謝啦",https://www.google.com/maps/contrib/101352611868682370482/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,ShinTung Ko,在地嚮導 · 55 則評論 · 74 張相片,4 年前,4 顆星,非常新鮮好吃 去台南會想再吃,https://www.google.com/maps/contrib/104323697203535376854/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Hua,在地嚮導 · 34 則評論 · 22 張相片,4 年前,4 顆星,"生蠔很新鮮很好吃 烤蛤蠣有點鹹
去台南會想再去吃",https://www.google.com/maps/contrib/108371123125215656368/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Memento Mori,"在地嚮導 · 1,488 則評論 · 5,904 張相片",4 年前,4 顆星,好吃，生蠔濃郁到不行，像牛奶一樣,https://www.google.com/maps/contrib/114085475394400061355/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,蘇靜瑜,12 則評論 · 1 張相片,4 年前,5 顆星,,https://www.google.com/maps/contrib/117941487079875159440/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Justin Lai,在地嚮導 · 374 則評論 · 662 張相片,5 年前,5 顆星,"每次來台南必吃
非常新鮮
店長烤的熟度剛剛好
怕生的朋友也敢吃
CP值很足",https://www.google.com/maps/contrib/110006229616823257217/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Chen Paul,在地嚮導 · 150 則評論 · 74 張相片,5 年前,5 顆星,好服務，佩服,https://www.google.com/maps/contrib/100910845532477716431/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Jason Jason,在地嚮導 · 5 張相片,5 年前,5 顆星,,https://www.google.com/maps/contrib/111639839105286172437/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Saltfish Yen,"在地嚮導 · 672 則評論 · 2,684 張相片",5 年前,5 顆星,超鮮超好吃！,https://www.google.com/maps/contrib/103023128478285942683/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,吳佳儒,11 則評論 · 2 張相片,5 年前,1 顆星,,https://www.google.com/maps/contrib/106325322078323738702/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,C.W,在地嚮導 · 683 則評論 · 801 張相片,5 年前,5 顆星,太猛了吧 蚵仔好鮮 但蛤蜊蠻少的,https://www.google.com/maps/contrib/114582147396259500168/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,蕭紹甫,在地嚮導 · 51 則評論 · 21 張相片,5 年前,5 顆星,每次來台南必吃,https://www.google.com/maps/contrib/107309593416799878755/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,艾橙,"在地嚮導 · 585 則評論 · 8,866 張相片",5 年前,4 顆星,,https://www.google.com/maps/contrib/106859156379666029033/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Scott Lee,"在地嚮導 · 1,172 則評論 · 5,323 張相片",6 年前,4 顆星,新鮮好吃又便宜,https://www.google.com/maps/contrib/103343327828171163779/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Hsin Yeh,在地嚮導 · 163 則評論 · 30 張相片,6 年前,3 顆星,烤蚵與牡蠣飯特別,https://www.google.com/maps/contrib/115129006664492023462/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,epstudio Lin,"在地嚮導 · 478 則評論 · 4,449 張相片",6 年前,5 顆星,七股自產的帶殼烤蚵，從夜市發跡,https://www.google.com/maps/contrib/105246801835692109652/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,。。,在地嚮導 · 329 則評論 · 948 張相片,7 年前,5 顆星,蚵仔超大超新鮮的！好美味,https://www.google.com/maps/contrib/117882784034548871971/reviews?hl=zh-TW
丹丹香蔥油餅-武聖店,Winter,在地嚮導 · 84 則評論 · 18 張相片,1 個月前,1 顆星,拿到就是冷的，還亂剪，沒有好幾塊超大塊，就蠻爛的,https://www.google.com/maps/contrib/117312024690325582508/reviews?hl=zh-TW
丹丹香蔥油餅-武聖店,Shanshan Huang,在地嚮導 · 19 則評論 · 19 張相片,6 個月前,5 顆星,雞汁蒜味明明就很好吃，味道也很分明唷！,https://www.google.com/maps/contrib/105576699799209618278/reviews?hl=zh-TW
丹丹香蔥油餅-武聖店,Songren Lim,在地嚮導 · 161 則評論 · 304 張相片,1 年前,5 顆星,非常鬆軟可口的蔥油餅！建議加蛋和大蒜。這是他們的招牌！我參觀夜市的亮點之一。,https://www.google.com/maps/contrib/114347150966875340838/reviews?hl=zh-TW
丹丹香蔥油餅-武聖店,謝承翰,在地嚮導 · 50 則評論 · 210 張相片,1 年前,5 顆星,"好吃，口感比較Q
下次要買看看雞汁",https://www.google.com/maps/contrib/107465560284511880402/reviews?hl=zh-TW
丹丹香蔥油餅-武聖店,Ven Sans,在地嚮導 · 495 則評論 · 51 張相片,1 年前,2 顆星,"特地來吃  雞汁超級普通⋯買半張吃得很痛苦
還是鍾愛何佳佳  比較便宜也比較好吃😍💖 …",https://www.google.com/maps/contrib/101069163337926254695/reviews?hl=zh-TW
丹丹香蔥油餅-武聖店,梁盛文,在地嚮導 · 301 則評論 · 95 張相片,1 年前,5 顆星,好吃啊,https://www.google.com/maps/contrib/104591185417777340343/reviews?hl=zh-TW
丹丹香蔥油餅-武聖店,陳玟婷,在地嚮導 · 27 則評論 · 5 張相片,1 年前,5 顆星,"蛤？我覺得雞汁超好吃超香的
價格又很實惠呀😂
而且有留言說偏Q可是我吃起來脆脆的欸 超好吃的👍",https://www.google.com/maps/contrib/109044611161304823167/reviews?hl=zh-TW
丹丹香蔥油餅-武聖店,38flower,在地嚮導 · 146 則評論 · 531 張相片,1 年前,1 顆星,1/4張30元，半張50元，一張90元；什麼獨一無二的口味「雞汁蒜味」，我沒吃出什麼特別的味道，偏q的口感，但很油，我只覺得很油….吃一兩口就不想再吃了，所以以後不回購，不知道為啥那麼多人排隊…..還好只買1/4,https://www.google.com/maps/contrib/109555575031194912053/reviews?hl=zh-TW
丹丹香蔥油餅-武聖店,簡珮瑜,在地嚮導 · 12 則評論 · 10 張相片,1 年前,5 顆星,,https://www.google.com/maps/contrib/104790977896235814067/reviews?hl=zh-TW
鄉城蚵仔煎,C C,21 則評論 · 3 張相片,2 天前,1 顆星,"東西不優 煎的軟軟糊糊的
老闆態度極差 不知道在大聲什麼
這麼不爽就不要賣啊",https://www.google.com/maps/contrib/108541424791571030431/reviews?hl=zh-TW
鄉城蚵仔煎,seven jack,4 則評論 · 1 張相片,4 個月前,1 顆星,態度是在牛掰什麼,https://www.google.com/maps/contrib/108368580548129015303/reviews?hl=zh-TW
鄉城蚵仔煎,鄭勝朋,在地嚮導 · 8 則評論,6 個月前,5 顆星,,https://www.google.com/maps/contrib/102077380615553609669/reviews?hl=zh-TW
鄉城蚵仔煎,Ting,8 則評論 · 4 張相片,7 個月前,1 顆星,真的沒必要花錢受氣 戴眼鏡的男的態度極差 東西也沒有說很好吃 各位真的可以先迴避～有其它更好吃的～真的不要來這家 如果可以評負星 真的可以來個負五星,https://www.google.com/maps/contrib/116662438674492675411/reviews?hl=zh-TW
鄉城蚵仔煎,RU,在地嚮導 · 22 則評論 · 13 張相片,8 個月前,1 顆星,"看到這樣的份量
等一下別動
趕快拍照",https://www.google.com/maps/contrib/104707551439085254409/reviews?hl=zh-TW
鄉城蚵仔煎,Sheng,4 則評論,1 年前,1 顆星,有夠爛的店家，態度超差，上餐都用摔的，絕對不會來第二次,https://www.google.com/maps/contrib/116196883271245014791/reviews?hl=zh-TW
鄉城蚵仔煎,小晴૮ • ᴥ • ა,在地嚮導 · 27 則評論,1 年前,5 顆星,以前吃過 覺得很好吃~~~ 希望可以一直經營下去,https://www.google.com/maps/contrib/105192874037904426185/reviews?hl=zh-TW
鄉城蚵仔煎,ivy lee,"在地嚮導 · 788 則評論 · 4,694 張相片",1 年前,4 顆星,"跟隨鄉城 由夜市吃到武聖固定店
品質一直都有一定水準
蚵仔的量挺多的
醬汁口感也是美味
雖然目前販售點離我很遠
但只要我有經過  就想來一盤
老闆娘也是很親民骨力  👍👍",https://www.google.com/maps/contrib/109805547114223685813/reviews?hl=zh-TW
鄉城蚵仔煎,Hebe Chan,"在地嚮導 · 215 則評論 · 1,088 張相片",1 年前,5 顆星,"蚵仔放很多
太白粉可能要再煎久一些（有點糊糊的）可能客人較多的關係
醬汁很美味",https://www.google.com/maps/contrib/111721354145261542455/reviews?hl=zh-TW
鄉城蚵仔煎,Dayi,在地嚮導 · 233 則評論 · 688 張相片,1 年前,5 顆星,"難得夜市內用區還算寬廣不擁擠，
在很熱的今天晚，也不會感到悶熱，
服務也很好，都會問還有誰沒有點餐，
蚵仔煎的蚵仔也很多顆，醬料很台南，甜鹹有味超搭配，
口感也是好吃的蚵仔煎口感。",https://www.google.com/maps/contrib/105757333514224191840/reviews?hl=zh-TW
鄉城蚵仔煎,ng “MMMMENG” m,在地嚮導 · 45 則評論 · 3 張相片,1 年前,5 顆星,真的是料豐味美,https://www.google.com/maps/contrib/117965441052557428833/reviews?hl=zh-TW
鄉城蚵仔煎,M T,在地嚮導 · 83 則評論 · 316 張相片,1 年前,5 顆星,"狂推豬肉絲煎👍👍👍
醃過的肉絲配上爽脆的白菜跟豆芽菜，
搭著雞蛋、淋上麵糊，
煎至主體Q嫩、邊緣焦脆，
最後澆上特製的鹹甜醬汁，
份量十足堪為一餐飽食。

吃了20年都沒變的美味！",https://www.google.com/maps/contrib/104858940641866197830/reviews?hl=zh-TW
鄉城蚵仔煎,嵐,在地嚮導 · 140 則評論 · 160 張相片,1 年前,5 顆星,料好實在👍,https://www.google.com/maps/contrib/109742672745590967964/reviews?hl=zh-TW
韓欣 韓國食品直販所,kt k,在地嚮導 · 17 則評論 · 250 張相片,3 週前,5 顆星,,https://www.google.com/maps/contrib/100489887419324515807/reviews?hl=zh-TW
韓欣 韓國食品直販所,Avin Yang,2 則評論,2 年前,5 顆星,,https://www.google.com/maps/contrib/113675982403468469674/reviews?hl=zh-TW
韓欣 韓國食品直販所,周魯夫,在地嚮導 · 142 則評論 · 664 張相片,2 年前,5 顆星,"第一次嚐鮮～醬油蝦子
真的讓我驚艷.味美鮮甜.
好好吃喔！

再多買了一盒水果小黃瓜.
清甜可口的美味.一大盒60元.

老闆娘也阿莎力.
值得推薦的好店家.真的很韓！",https://www.google.com/maps/contrib/104195806020022795785/reviews?hl=zh-TW
韓欣 韓國食品直販所,林米英,在地嚮導 · 16 則評論 · 21 張相片,3 年前,5 顆星,食材全部都是韓國空運來的.想吃的小菜這邊都有賣.連新鮮的韓國芝麻葉都有.還有超多生菜.醬油螃蟹辣螃蟹.醬油蝦.新鮮的韓國草莓.超棒的一家店,https://www.google.com/maps/contrib/116062719787133955672/reviews?hl=zh-TW
韓欣 韓國食品直販所,Carlos Li,在地嚮導 · 138 則評論 · 395 張相片,3 年前,5 顆星,"看到網路上的消息,所以來尋寶

開幕第一個月打九折,買了蘿蔔塊泡菜+馬格利,還送一串香蕉
價格以韓國商品來說也不算貴
店員態度也很親切

值得推薦👍",https://www.google.com/maps/contrib/105632842593758397315/reviews?hl=zh-TW
武聖夜市 阿樂牛排,王政傑,在地嚮導 · 351 則評論 · 1 張相片,2 個月前,3 顆星,生意好時態度很差！生意不好態度就會變好,https://www.google.com/maps/contrib/111443607294206084997/reviews?hl=zh-TW
武聖夜市 阿樂牛排,葉偉澤,"在地嚮導 · 273 則評論 · 3,110 張相片",4 個月前,5 顆星,還不錯,https://www.google.com/maps/contrib/108085119897266808230/reviews?hl=zh-TW
武聖夜市 阿樂牛排,白白,26 則評論 · 3 張相片,5 個月前,1 顆星,阿姨的態度超級差問他可以點餐嗎？竟然罵我說你是什麼東西說什麼，態度真的很差耶，這樣還可以開店嗎？倒不如不要開，而且東西難吃的要死，態度又很差，衛生又超級爛。,https://www.google.com/maps/contrib/118014989756810804151/reviews?hl=zh-TW
武聖夜市 阿樂牛排,dji hun,15 則評論 · 4 張相片,7 個月前,1 顆星,鐵板很髒 開起來都是驚喜...,https://www.google.com/maps/contrib/104950763132674442239/reviews?hl=zh-TW
武聖夜市 阿樂牛排,同班同學,1 則評論,7 個月前,5 顆星,,https://www.google.com/maps/contrib/103072549060467246683/reviews?hl=zh-TW
武聖夜市 阿樂牛排,陳建志,2 則評論,7 個月前,1 顆星,8月31號  等半小時 結果跑去問 點餐單還能不見？你們是怎麼做生意的？ 連一句抱歉都沒有  有夠爛  連客人點完的單子都能不見 阿如果沒問 不就要座到收攤？,https://www.google.com/maps/contrib/117551494094780351249/reviews?hl=zh-TW
武聖夜市 阿樂牛排,莊天天,6 則評論 · 3 張相片,8 個月前,5 顆星,老闆兒子很帥,https://www.google.com/maps/contrib/100732786654465644271/reviews?hl=zh-TW
武聖夜市 阿樂牛排,鄭維倫（阿倫）,在地嚮導 · 33 則評論 · 20 張相片,8 個月前,5 顆星,,https://www.google.com/maps/contrib/114415317292261320789/reviews?hl=zh-TW
武聖夜市 阿樂牛排,SPC生活日常,"在地嚮導 · 720 則評論 · 6,449 張相片",8 個月前,4 顆星,還可,https://www.google.com/maps/contrib/105534641060720731200/reviews?hl=zh-TW
武聖夜市 阿樂牛排,柴爸幸福吃喝,在地嚮導 · 192 則評論 · 957 張相片,9 個月前,3 顆星,"因為躲雨才進來消費
厚片牛排🥩，麵體還不錯吃，肉片略顯小。
總體還行！",https://www.google.com/maps/contrib/111126334505135203368/reviews?hl=zh-TW
