餐廳名稱,留言者,留言者身分,留言時間,星級評等,評論內容,留言者ID
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,Yi-Ching Tseng,在地嚮導 · 73 則評論 · 236 張相片,7 個月前,5 顆星,,https://www.google.com/maps/contrib/118142646589300808671/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,杜俐萱,14 則評論 · 14 張相片,7 個月前,5 顆星,,https://www.google.com/maps/contrib/115088878468396199469/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,邱巧妤,在地嚮導 · 23 則評論 · 26 張相片,7 個月前,5 顆星,好吃,https://www.google.com/maps/contrib/110377072739964121235/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,胡博勝,15 則評論 · 5 張相片,8 個月前,5 顆星,,https://www.google.com/maps/contrib/110391627659903189736/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,姚怡君,在地嚮導 · 33 則評論 · 57 張相片,8 個月前,5 顆星,好吃😊,https://www.google.com/maps/contrib/100429223297875273209/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,YO YU,在地嚮導 · 17 則評論 · 21 張相片,8 個月前,5 顆星,好吃美味,https://www.google.com/maps/contrib/110689299489471686119/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,陳妍蓁,3 則評論,8 個月前,5 顆星,好朋友們一起吃減肥餐 用餐環境很文青,https://www.google.com/maps/contrib/102176877036157021282/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,吳佳昀,11 則評論 · 7 張相片,9 個月前,5 顆星,,https://www.google.com/maps/contrib/115990715372727991531/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,李沂芸,在地嚮導 · 4 則評論 · 2 張相片,10 個月前,5 顆星,做了好多次白老鼠，終於買到好吃的油雞,https://www.google.com/maps/contrib/107598774530894515189/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,淨圓,3 則評論,10 個月前,5 顆星,好吃,https://www.google.com/maps/contrib/110344789403544691995/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,23 1,在地嚮導 · 92 則評論 · 53 張相片,10 個月前,5 顆星,很好吃,https://www.google.com/maps/contrib/114026963155732874213/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,L&R TPR劉克威,5 則評論 · 4 張相片,10 個月前,5 顆星,油雞超讚👍,https://www.google.com/maps/contrib/106529185234247997369/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,李佳穎,1 則評論 · 1 張相片,10 個月前,5 顆星,👍,https://www.google.com/maps/contrib/108577676964399910121/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,君君,20 則評論 · 13 張相片,10 個月前,5 顆星,老闆很帥 東西又好吃,https://www.google.com/maps/contrib/108950263847823792759/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,黃峻凱,在地嚮導 · 40 則評論 · 16 張相片,11 個月前,5 顆星,鹹水雞就是健身top1,https://www.google.com/maps/contrib/113593184852232340178/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,李豫軒,10 則評論 · 4 張相片,11 個月前,1 顆星,"這輩子吃過最沒料的鹽水雞
既不是油雞、也不是醉雞，蔬菜完全沒有味道，雞肉裡的竹筍很脆、但味道超怪。
在美食之都這種店還開的下去是真的奇蹟",https://www.google.com/maps/contrib/105020759296500587870/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,胡景濤,13 則評論,11 個月前,1 顆星,味道很怪,https://www.google.com/maps/contrib/116292612281580069866/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,李柚子,2 則評論 · 3 張相片,11 個月前,5 顆星,,https://www.google.com/maps/contrib/110941814046692552494/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,吳先生,在地嚮導 · 36 則評論 · 5 張相片,11 個月前,5 顆星,好吃・・・,https://www.google.com/maps/contrib/100486037410306920133/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,娟,在地嚮導 · 24 則評論 · 39 張相片,1 年前,1 顆星,切記不要點外送！會等很久很久！大概要快兩個小時喔！還讓外送員等很久⋯⋯根本還沒完成餐點，再外送平台上會按已經完成，笑死😆還被外送員棄單⋯,https://www.google.com/maps/contrib/117870735807404366300/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,黃雅宜,17 則評論 · 1 張相片,1 年前,5 顆星,,https://www.google.com/maps/contrib/101163279077203356623/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,jun G,1 則評論,1 年前,5 顆星,,https://www.google.com/maps/contrib/111566939814441805932/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,陳嫙樂Candy,在地嚮導 · 19 則評論 · 7 張相片,1 年前,5 顆星,好吃,https://www.google.com/maps/contrib/103446974586298427272/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,蔡慶昭,在地嚮導 · 17 則評論 · 4 張相片,1 年前,5 顆星,,https://www.google.com/maps/contrib/100786911202996872919/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,hao CHEN,在地嚮導 · 170 則評論 · 20 張相片,1 年前,5 顆星,雞肉都很新鮮,https://www.google.com/maps/contrib/112028769913424596560/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,邱建勳,6 則評論 · 1 張相片,1 年前,5 顆星,好吃，服務又好,https://www.google.com/maps/contrib/103344933543382913606/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,宜庭楊,9 則評論,1 年前,5 顆星,雞腿肉嫩，味道清爽,https://www.google.com/maps/contrib/107700578613975985351/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,E.C Chen,"在地嚮導 · 233 則評論 · 1,844 張相片",1 年前,5 顆星,不用懷疑 滿分100分的好吃👍👍👍❤❤❤,https://www.google.com/maps/contrib/110382332559857158889/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,陳妙姿,2 則評論 · 3 張相片,1 年前,5 顆星,,https://www.google.com/maps/contrib/113139163277806857662/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,洪翊瑄,在地嚮導 · 28 則評論 · 13 張相片,1 年前,5 顆星,菜色多樣，服務人員很用心解說,https://www.google.com/maps/contrib/112924226395703352509/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,周詩詠,在地嚮導 · 17 則評論 · 4 張相片,1 年前,5 顆星,好吃,https://www.google.com/maps/contrib/103837839081615615936/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,周建國,在地嚮導 · 18 則評論 · 12 張相片,1 年前,5 顆星,好吃,https://www.google.com/maps/contrib/115980797325964355634/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,Taiying LIN,2 則評論 · 2 張相片,1 年前,5 顆星,,https://www.google.com/maps/contrib/109375248039925441181/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,Ss Aa,在地嚮導 · 56 則評論 · 73 張相片,1 年前,5 顆星,,https://www.google.com/maps/contrib/107063581504225328496/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,阿榕,2 則評論,1 年前,5 顆星,,https://www.google.com/maps/contrib/102487410766180578703/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,Weiru Tseng,7 則評論,1 年前,5 顆星,老闆很帥！食物好吃！雞肉一點也不會乾 味道很夠！,https://www.google.com/maps/contrib/106696914823494563789/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,A-MO ZN,在地嚮導 · 166 則評論 · 576 張相片,1 年前,5 顆星,"提供line pay付款🦔
調味還不錯 雞也不會很乾柴👍🏻
最重要的是 豆皮是大豆皮✨ …",https://www.google.com/maps/contrib/114514520561812983511/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,張喬凱,13 則評論 · 12 張相片,1 年前,5 顆星,紹興酒雞 讚的！,https://www.google.com/maps/contrib/115730339311275727485/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,林佳滿,在地嚮導 · 15 則評論 · 10 張相片,1 年前,5 顆星,吃就對了！,https://www.google.com/maps/contrib/109071033201373380804/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,李欣潔,在地嚮導 · 23 則評論 · 16 張相片,1 年前,5 顆星,,https://www.google.com/maps/contrib/103880852228368979648/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,J M,13 則評論 · 5 張相片,1 年前,3 顆星,,https://www.google.com/maps/contrib/117338319298442298510/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,曹易宏,在地嚮導 · 131 則評論 · 62 張相片,1 年前,5 顆星,,https://www.google.com/maps/contrib/100597890247781994682/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,劉美吟,1 則評論,1 年前,5 顆星,,https://www.google.com/maps/contrib/113081279330592139995/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,Momiji Young (紅葉),在地嚮導 · 36 則評論 · 19 張相片,1 年前,5 顆星,醉雞好吃，雞肉肉質軟嫩，紹興酒很入味。,https://www.google.com/maps/contrib/112979917166726882481/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,高麗君,5 則評論 · 2 張相片,1 年前,5 顆星,好吃,https://www.google.com/maps/contrib/116295715717662323735/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,尤怡茜（梅西）,在地嚮導 · 178 則評論 · 156 張相片,1 年前,5 顆星,,https://www.google.com/maps/contrib/100189813824443185978/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,陳嘉星,在地嚮導 · 23 則評論 · 9 張相片,1 年前,5 顆星,很好吃,https://www.google.com/maps/contrib/116355246636619869779/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,石殷仁,,1 年前,5 顆星,,https://www.google.com/maps/contrib/116496735258233913456/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,商務資訊應用系郭巧玲,2 則評論,1 年前,5 顆星,,https://www.google.com/maps/contrib/103954903633718026118/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,劉小滾,22 則評論 · 16 張相片,1 年前,5 顆星,好吃,https://www.google.com/maps/contrib/100559015765668833032/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,鄧小靜,在地嚮導 · 58 則評論 · 68 張相片,1 年前,5 顆星,我們用uber叫的，謝謝老闆給予我們豐富的一餐，味道跟份量都很優！讚讚,https://www.google.com/maps/contrib/117513040641914556702/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,名無,在地嚮導 · 37 則評論 · 29 張相片,1 年前,5 顆星,"哇～～真的很好吃欸！！
他的油雞是有果凍的那種，肉量夠也夠大塊！吃一口覺得太好吃了吧～～都要吃完了才想到要拍照，可惜不住台南不能常常吃👍🏻 …",https://www.google.com/maps/contrib/114464635616515607249/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,RaRa Tsai,8 則評論 · 2 張相片,1 年前,5 顆星,認真好吃！,https://www.google.com/maps/contrib/105213798748564957338/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,TT C,在地嚮導 · 27 則評論 · 2 張相片,1 年前,5 顆星,,https://www.google.com/maps/contrib/117374855468883456761/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,Ru Lin,8 則評論 · 2 張相片,1 年前,5 顆星,好吃美味,https://www.google.com/maps/contrib/110276281573478931738/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,嘻嘻,4 則評論,1 年前,5 顆星,,https://www.google.com/maps/contrib/114989112457909812503/reviews?hl=zh-TW
