餐廳名稱,留言者,留言者身分,留言時間,星級評等,評論內容,留言者ID
大東夜市,沛堤,在地嚮導 · 13 則評論 · 4 張相片,6 天前,3 顆星,,https://www.google.com/maps/contrib/110619732398952938610/reviews?hl=zh-TW
大東夜市,N•O•Y ninio,在地嚮導 · 16 則評論 · 154 張相片,6 天前,4 顆星,,https://www.google.com/maps/contrib/111778746830557365601/reviews?hl=zh-TW
大東夜市,ping,2 則評論 · 1 張相片,6 天前,5 顆星,,https://www.google.com/maps/contrib/116803087174851796766/reviews?hl=zh-TW
大東夜市,YL Z,在地嚮導 · 16 則評論 · 6 張相片,1 週前,5 顆星,環境整潔 東西還不錯👍🏿 …,https://www.google.com/maps/contrib/116040846257846787211/reviews?hl=zh-TW
大東夜市,Jun,8 則評論,1 週前,5 顆星,,https://www.google.com/maps/contrib/109130965413555463127/reviews?hl=zh-TW
大東夜市,Vignesh Sarvothamaraj,在地嚮導 · 41 則評論 · 318 張相片,1 週前,3 顆星,,https://www.google.com/maps/contrib/112197098261839146406/reviews?hl=zh-TW
大東夜市,陳鵬全,"在地嚮導 · 34 則評論 · 1,248 張相片",1 週前,5 顆星,,https://www.google.com/maps/contrib/101241341977541614633/reviews?hl=zh-TW
大東夜市,曾怡禎,在地嚮導 · 16 則評論 · 17 張相片,1 週前,5 顆星,很喜歡,https://www.google.com/maps/contrib/116969257768466455466/reviews?hl=zh-TW
大東夜市,pann,在地嚮導 · 9 則評論 · 39 張相片,1 週前,4 顆星,沒什麼好看的。,https://www.google.com/maps/contrib/114393486497579953431/reviews?hl=zh-TW
大東夜市,風（在下毛毛雨）,在地嚮導 · 8 則評論 · 41 張相片,1 週前,4 顆星,地主吵架所以分成兩邊,https://www.google.com/maps/contrib/114870152507037076938/reviews?hl=zh-TW
大東夜市,泥瞅啥（庫巴蝦餃）,在地嚮導 · 19 則評論 · 14 張相片,1 週前,4 顆星,,https://www.google.com/maps/contrib/101739855295549803444/reviews?hl=zh-TW
大東夜市,洪連鴻,在地嚮導 · 1 則評論 · 79 張相片,1 週前,3 顆星,,https://www.google.com/maps/contrib/114569459001804153917/reviews?hl=zh-TW
大東夜市,楊季葳,在地嚮導 · 21 則評論 · 49 張相片,1 週前,5 顆星,,https://www.google.com/maps/contrib/100306702228654999453/reviews?hl=zh-TW
大東夜市,coofootra,"在地嚮導 · 445 則評論 · 10,596 張相片",1 週前,4 顆星,越來越少攤販了,https://www.google.com/maps/contrib/117825641680415047464/reviews?hl=zh-TW
大東夜市,楊竣詠,在地嚮導 · 767 則評論 · 175 張相片,1 週前,5 顆星,很棒的夜市，東西好吃。,https://www.google.com/maps/contrib/105602816958955014492/reviews?hl=zh-TW
大東夜市,Steven Chong,在地嚮導 · 138 則評論 · 62 張相片,1 週前,3 顆星,一個乾淨的地方，但不是那麼大。,https://www.google.com/maps/contrib/100656293383001531349/reviews?hl=zh-TW
大東夜市,詹旻翰,5 則評論 · 1 張相片,1 週前,1 顆星,超傻眼，買2件衣服而已，其中一件就拿錯貨，原本一天的好心情都被破壞了，而且我住台中，是叫我在開車回去找攤位退嘛…,https://www.google.com/maps/contrib/107641250923835742806/reviews?hl=zh-TW
大東夜市,Toh CJ,在地嚮導 · 117 則評論 · 183 張相片,1 週前,5 顆星,,https://www.google.com/maps/contrib/116115010603642178571/reviews?hl=zh-TW
大東夜市,Sweetnsourgruffi,在地嚮導 · 21 則評論 · 306 張相片,1 週前,4 顆星,,https://www.google.com/maps/contrib/104456487344036643680/reviews?hl=zh-TW
大東夜市,Richard Lim,在地嚮導 · 13 則評論 · 5 張相片,1 週前,4 顆星,,https://www.google.com/maps/contrib/102003347348308277159/reviews?hl=zh-TW
大東夜市,逸翔,在地嚮導 · 19 則評論 · 10 張相片,1 週前,4 顆星,,https://www.google.com/maps/contrib/117537427349987529798/reviews?hl=zh-TW
大東夜市,李憶慈,6 則評論 · 1 張相片,1 週前,3 顆星,,https://www.google.com/maps/contrib/105650202294210164286/reviews?hl=zh-TW
大東夜市,江盛文,"在地嚮導 · 4 則評論 · 1,114 張相片",1 週前,4 顆星,,https://www.google.com/maps/contrib/105088534575027636355/reviews?hl=zh-TW
大東夜市,曾晏旼,13 則評論,1 週前,1 顆星,觀光夜市，東西貴，用料又不實在,https://www.google.com/maps/contrib/100991216558490929362/reviews?hl=zh-TW
大東夜市,Julius Fernandez,在地嚮導 · 4 則評論 · 35 張相片,1 週前,5 顆星,,https://www.google.com/maps/contrib/102015175580332473726/reviews?hl=zh-TW
大東夜市,張顯主,在地嚮導 · 62 則評論 · 81 張相片,1 週前,5 顆星,,https://www.google.com/maps/contrib/108356923921408108743/reviews?hl=zh-TW
大東夜市,幸福小窩,3 則評論 · 4 張相片,1 週前,3 顆星,,https://www.google.com/maps/contrib/113434508709886920712/reviews?hl=zh-TW
大東夜市,ledd Yeh,在地嚮導 · 16 則評論 · 900 張相片,1 週前,4 顆星,,https://www.google.com/maps/contrib/103305552940663353648/reviews?hl=zh-TW
大東夜市,陳威儒,5 則評論,1 週前,4 顆星,,https://www.google.com/maps/contrib/112135039672629486445/reviews?hl=zh-TW
大東夜市,賴意函,在地嚮導 · 53 則評論 · 9 張相片,1 週前,5 顆星,,https://www.google.com/maps/contrib/110534184415819811737/reviews?hl=zh-TW
大東夜市,Q毛,在地嚮導 · 105 則評論 · 43 張相片,1 週前,3 顆星,動線規劃不錯 路很大條 吃的就普通,https://www.google.com/maps/contrib/113934614771436728298/reviews?hl=zh-TW
大東夜市,施丙戊,2 則評論 · 1 張相片,1 週前,4 顆星,,https://www.google.com/maps/contrib/116824107474832930777/reviews?hl=zh-TW
大東夜市,紫維,"在地嚮導 · 145 則評論 · 2,057 張相片",1 週前,3 顆星,,https://www.google.com/maps/contrib/102782507731736935686/reviews?hl=zh-TW
大東夜市,劉家溶,在地嚮導 · 31 則評論 · 115 張相片,1 週前,4 顆星,,https://www.google.com/maps/contrib/111916034690172261018/reviews?hl=zh-TW
大東夜市,pb220701,在地嚮導 · 32 則評論 · 21 張相片,1 週前,3 顆星,很擠動線差難停車,https://www.google.com/maps/contrib/111862505358721917723/reviews?hl=zh-TW
大東夜市,星空,在地嚮導 · 32 則評論 · 20 張相片,1 週前,3 顆星,停車位少的可憐,https://www.google.com/maps/contrib/112408953251756836147/reviews?hl=zh-TW
大東夜市,Eartha Chu,在地嚮導 · 88 則評論 · 70 張相片,1 週前,4 顆星,,https://www.google.com/maps/contrib/115231397844193142556/reviews?hl=zh-TW
大東夜市,chi wai kong,4 張相片,2 週前,4 顆星,,https://www.google.com/maps/contrib/114274910966797311767/reviews?hl=zh-TW
大東夜市,洋銘胡,在地嚮導 · 62 則評論 · 322 張相片,2 週前,5 顆星,,https://www.google.com/maps/contrib/115217186821963528557/reviews?hl=zh-TW
大東夜市,林昌為,"在地嚮導 · 690 則評論 · 3,014 張相片",2 週前,5 顆星,不好逛,https://www.google.com/maps/contrib/106185108428515089836/reviews?hl=zh-TW
大東夜市,Kuan-Yu Lu,在地嚮導 · 6 則評論 · 5 張相片,2 週前,5 顆星,,https://www.google.com/maps/contrib/114458511823110306016/reviews?hl=zh-TW
大東夜市,劉秀吟,在地嚮導 · 3 則評論 · 8 張相片,2 週前,5 顆星,,https://www.google.com/maps/contrib/104767858594244965698/reviews?hl=zh-TW
大東夜市,林家禾,在地嚮導 · 57 則評論 · 4 張相片,2 週前,5 顆星,好逛,https://www.google.com/maps/contrib/109683774585897850885/reviews?hl=zh-TW
大東夜市,冏冏,在地嚮導 · 24 則評論 · 7 張相片,2 週前,5 顆星,,https://www.google.com/maps/contrib/100662138189350785483/reviews?hl=zh-TW
大東夜市,Anthony Wu,7 則評論 · 4 張相片,2 週前,5 顆星,方形的夜市,https://www.google.com/maps/contrib/108766859362304983608/reviews?hl=zh-TW
大東夜市,張喬瑄,4 則評論 · 4 張相片,2 週前,4 顆星,,https://www.google.com/maps/contrib/114605150516786087146/reviews?hl=zh-TW
大東夜市,張喬清江,在地嚮導 · 9 則評論,2 週前,3 顆星,,https://www.google.com/maps/contrib/110894813382228088949/reviews?hl=zh-TW
大東夜市,蘇紘億,在地嚮導 · 48 則評論 · 117 張相片,2 週前,5 顆星,,https://www.google.com/maps/contrib/102218415861599313423/reviews?hl=zh-TW
大東夜市,謝碧樂,在地嚮導 · 28 則評論 · 828 張相片,2 週前,4 顆星,,https://www.google.com/maps/contrib/115674567902677616049/reviews?hl=zh-TW
大東夜市,林林,在地嚮導 · 96 則評論 · 56 張相片,2 週前,3 顆星,,https://www.google.com/maps/contrib/111888564832732391896/reviews?hl=zh-TW
大東夜市,何凱文,在地嚮導 · 9 則評論 · 222 張相片,2 週前,4 顆星,,https://www.google.com/maps/contrib/109623797848940917843/reviews?hl=zh-TW
大東夜市,恩恩寶貝,在地嚮導 · 35 則評論 · 8 張相片,2 週前,4 顆星,投籃添狗遇見美女大放送🤣 …,https://www.google.com/maps/contrib/110933857490433924776/reviews?hl=zh-TW
大東夜市,黃裕翔,在地嚮導 · 15 則評論 · 15 張相片,2 週前,5 顆星,,https://www.google.com/maps/contrib/112253264099455313829/reviews?hl=zh-TW
大東夜市,蔡翔宇,在地嚮導 · 18 則評論 · 4 張相片,2 週前,5 顆星,"大東果然是大東
不愧是ko.3",https://www.google.com/maps/contrib/105518013845116791542/reviews?hl=zh-TW
大東夜市,Edgar Gättner,"在地嚮導 · 1,239 則評論 · 11,738 張相片",2 週前,5 顆星,還有一個非常好的夜市。,https://www.google.com/maps/contrib/115517946552527951887/reviews?hl=zh-TW
大東夜市,michael chang,在地嚮導 · 5 則評論,2 週前,4 顆星,,https://www.google.com/maps/contrib/111494084179128910736/reviews?hl=zh-TW
大東夜市,Desmon Lai,"在地嚮導 · 808 則評論 · 10,499 張相片",2 週前,3 顆星,一點都不令人覺得驚喜,https://www.google.com/maps/contrib/114715756151690313371/reviews?hl=zh-TW
大東夜市,陳則穎,在地嚮導 · 11 則評論,2 週前,5 顆星,,https://www.google.com/maps/contrib/115361104775772126692/reviews?hl=zh-TW
大東夜市,Melody Hwang,在地嚮導 · 7 則評論 · 67 張相片,2 週前,5 顆星,,https://www.google.com/maps/contrib/113294934200696007904/reviews?hl=zh-TW
大東夜市,遊俠,在地嚮導 · 138 則評論 · 84 張相片,2 週前,5 顆星,行~攤位多，不錯逛~,https://www.google.com/maps/contrib/102081317860549074079/reviews?hl=zh-TW
大東夜市,游順翔,在地嚮導 · 43 則評論 · 9 張相片,2 週前,5 顆星,,https://www.google.com/maps/contrib/104506462117978307273/reviews?hl=zh-TW
大東夜市,Tainan Maizuru 台南民宿舞鶴_我在booking.com喔,在地嚮導 · 721 則評論 · 838 張相片,2 週前,5 顆星,開心🥳 …,https://www.google.com/maps/contrib/113074782454152641505/reviews?hl=zh-TW
大東夜市,陳先生,在地嚮導 · 75 則評論 · 49 張相片,2 週前,5 顆星,好吃好玩缺點人太多😆 …,https://www.google.com/maps/contrib/106157839804797177705/reviews?hl=zh-TW
大東夜市,張鹽巴,在地嚮導 · 23 則評論 · 2 張相片,2 週前,5 顆星,,https://www.google.com/maps/contrib/113613573635299450238/reviews?hl=zh-TW
大東夜市,林小薰,4 則評論 · 2 張相片,2 週前,5 顆星,叻沙豬肉油麵好吃～棒棒,https://www.google.com/maps/contrib/104914672639480277554/reviews?hl=zh-TW
大東夜市,吳朋恩,在地嚮導 · 26 則評論 · 2 張相片,2 週前,5 顆星,我是來台南觀光的，夜市真的超好逛東西超多，裡面有古早味的香腸,https://www.google.com/maps/contrib/112595305493213009802/reviews?hl=zh-TW
大東夜市,RLin Chan,,2 週前,5 顆星,,https://www.google.com/maps/contrib/110149933649186120031/reviews?hl=zh-TW
大東夜市,曾樺瑋,在地嚮導 · 45 則評論 · 49 張相片,2 週前,5 顆星,,https://www.google.com/maps/contrib/108685775822821952668/reviews?hl=zh-TW
大東夜市,林阿倫,3 則評論 · 1 張相片,2 週前,5 顆星,,https://www.google.com/maps/contrib/101162044671710202583/reviews?hl=zh-TW
大東夜市,David Yin,在地嚮導 · 11 則評論 · 7 張相片,2 週前,5 顆星,,https://www.google.com/maps/contrib/104930613226146781798/reviews?hl=zh-TW
大東夜市,mark wang,在地嚮導 · 86 則評論 · 19 張相片,2 週前,5 顆星,好吃好玩 好好逛逛,https://www.google.com/maps/contrib/107491972699146685053/reviews?hl=zh-TW
大東夜市,Nina Hsieh,6 則評論 · 3 張相片,2 週前,5 顆星,,https://www.google.com/maps/contrib/107831829606599657654/reviews?hl=zh-TW
大東夜市,翁佩瑄,3 則評論,2 週前,4 顆星,,https://www.google.com/maps/contrib/117307942728231233577/reviews?hl=zh-TW
大東夜市,陳延杰,4 則評論 · 1 張相片,2 週前,4 顆星,,https://www.google.com/maps/contrib/109378408910002006265/reviews?hl=zh-TW
大東夜市,張崇連,在地嚮導 · 4 則評論 · 122 張相片,2 週前,3 顆星,,https://www.google.com/maps/contrib/104086985829833752417/reviews?hl=zh-TW
大東夜市,張佩茹,在地嚮導 · 27 則評論 · 6 張相片,2 週前,5 顆星,,https://www.google.com/maps/contrib/110032892584798001201/reviews?hl=zh-TW
大東夜市,瀚帥,17 則評論 · 3 張相片,2 週前,5 顆星,,https://www.google.com/maps/contrib/108287332236951218623/reviews?hl=zh-TW
大東夜市,黃科傑,在地嚮導 · 13 則評論 · 10 張相片,2 週前,5 顆星,,https://www.google.com/maps/contrib/112388574506649172548/reviews?hl=zh-TW
大東夜市,Jason Wu,在地嚮導 · 18 則評論 · 3 張相片,2 週前,4 顆星,賣的東西沒什麼特別的…跟其它地方都一樣,https://www.google.com/maps/contrib/111882280440856576372/reviews?hl=zh-TW
大東夜市,李夏菁,在地嚮導 · 35 則評論 · 27 張相片,3 週前,5 顆星,,https://www.google.com/maps/contrib/110379365053935118821/reviews?hl=zh-TW
大東夜市,橘子,在地嚮導 · 19 則評論 · 9 張相片,3 週前,5 顆星,,https://www.google.com/maps/contrib/108616667534699130084/reviews?hl=zh-TW
大東夜市,Mie Chen,在地嚮導 · 15 則評論 · 15 張相片,3 週前,5 顆星,,https://www.google.com/maps/contrib/117473118862417926587/reviews?hl=zh-TW
大東夜市,雷丘,4 則評論 · 5 張相片,3 週前,5 顆星,,https://www.google.com/maps/contrib/109001116657665929269/reviews?hl=zh-TW
大東夜市,Xiang Ling,4 則評論,3 週前,5 顆星,,https://www.google.com/maps/contrib/115728556194313866879/reviews?hl=zh-TW
大東夜市,成嘉張,在地嚮導 · 20 則評論 · 3 張相片,3 週前,2 顆星,變成大大東跟大東完全不好逛,https://www.google.com/maps/contrib/116443275860830112095/reviews?hl=zh-TW
大東夜市,侯冠廷,在地嚮導 · 229 則評論 · 150 張相片,3 週前,5 顆星,不錯 不過盡量別週五來 人很多,https://www.google.com/maps/contrib/103149722786941418614/reviews?hl=zh-TW
大東夜市,craig Huang,在地嚮導 · 42 則評論 · 13 張相片,3 週前,5 顆星,很久沒去了！還是一樣蠻好逛的,https://www.google.com/maps/contrib/115391086813938884717/reviews?hl=zh-TW
大東夜市,肥勇俊,在地嚮導 · 34 則評論 · 19 張相片,3 週前,5 顆星,,https://www.google.com/maps/contrib/114541572010252324758/reviews?hl=zh-TW
大東夜市,y Mk,1 則評論,3 週前,1 顆星,,https://www.google.com/maps/contrib/107869202116604255631/reviews?hl=zh-TW
大東夜市,凝凝,8 則評論 · 3 張相片,3 週前,5 顆星,,https://www.google.com/maps/contrib/100565026231512259430/reviews?hl=zh-TW
大東夜市,DI DI,在地嚮導 · 18 則評論 · 1 張相片,3 週前,5 顆星,,https://www.google.com/maps/contrib/100145764188716467317/reviews?hl=zh-TW
大東夜市,郭彥宏,在地嚮導 · 40 則評論 · 18 張相片,3 週前,5 顆星,能吃到飽的地方,https://www.google.com/maps/contrib/110987719821769329442/reviews?hl=zh-TW
大東夜市,Liting Chiou,3 則評論,3 週前,4 顆星,,https://www.google.com/maps/contrib/103912836461732365742/reviews?hl=zh-TW
大東夜市,劉庭安,在地嚮導 · 19 則評論 · 12 張相片,3 週前,5 顆星,,https://www.google.com/maps/contrib/115194153086695130500/reviews?hl=zh-TW
大東夜市,芳,"在地嚮導 · 35 則評論 · 1,093 張相片",3 週前,3 顆星,,https://www.google.com/maps/contrib/111217269622425132169/reviews?hl=zh-TW
大東夜市,CC Yeh,26 則評論,3 週前,4 顆星,停車有點不方便，夜市有兩個區塊， 對外地人的我們可能會有點不熟悉，還以為夜市很小，建議有關單位可以規劃的更好 或是有清楚的指示,https://www.google.com/maps/contrib/104942993141971725640/reviews?hl=zh-TW
大東夜市,蔡小姐,在地嚮導 · 320 則評論 · 212 張相片,3 週前,4 顆星,由於清明兒童節連續假日，人潮真的多到爆。,https://www.google.com/maps/contrib/103712926108671764573/reviews?hl=zh-TW
大東夜市,鄭智謙,在地嚮導 · 4 則評論,3 週前,4 顆星,,https://www.google.com/maps/contrib/100963011749725954017/reviews?hl=zh-TW
大東夜市,魁.,在地嚮導 · 16 則評論 · 3 張相片,3 週前,5 顆星,,https://www.google.com/maps/contrib/111769931677618583867/reviews?hl=zh-TW
大東夜市,Kenny Fu,"在地嚮導 · 31 則評論 · 2,422 張相片",3 週前,3 顆星,人超多，吃的東西一般般,https://www.google.com/maps/contrib/104832137363528804082/reviews?hl=zh-TW
大東夜市,yenchun,在地嚮導 · 50 則評論 · 30 張相片,3 週前,4 顆星,場地太擠，停車困難，攤位好吃。,https://www.google.com/maps/contrib/102922402287759129348/reviews?hl=zh-TW
大東夜市,TINNNA,在地嚮導 · 56 則評論 · 56 張相片,3 週前,5 顆星,"希望可以有停車場
路邊停車格真的太少了",https://www.google.com/maps/contrib/103789847495229100568/reviews?hl=zh-TW
大東夜市,輕鬆自在,在地嚮導 · 56 則評論 · 7 張相片,3 週前,3 顆星,夜市太擁擠了，不好逛。路小條。,https://www.google.com/maps/contrib/110970370875480767647/reviews?hl=zh-TW
大東夜市,Jerry Lin,在地嚮導 · 38 則評論 · 2 張相片,3 週前,4 顆星,,https://www.google.com/maps/contrib/114543183439596585654/reviews?hl=zh-TW
大東夜市,uuud buuu_,3 則評論 · 1 張相片,3 週前,5 顆星,絕對不要去玩射飛鏢的攤位，打手槍的那攤好很多,https://www.google.com/maps/contrib/114233218209425443561/reviews?hl=zh-TW
大東夜市,鍾育丞（LEO）,在地嚮導 · 96 則評論 · 445 張相片,3 週前,4 顆星,好久沒去大東夜市，這次再訪有點小失望，感覺攤位變少不少，以前熱鬧的感覺有點不見了。不過還是有幾家熟悉的老攤在，味道還是一樣好，吃起來很有回憶的感覺。整體逛起來算輕鬆，人潮也沒以前那麼擠，但少了那種熱鬧氣氛就有點可惜。希望未來能再慢慢回到以前那種盛況吧～給個四星鼓勵一下,https://www.google.com/maps/contrib/115307502892406960048/reviews?hl=zh-TW
大東夜市,jenny wang,在地嚮導 · 53 則評論 · 1 張相片,3 週前,1 顆星,今天去買靠近公廁的旗魚黑輪時候，旁邊是賣可莉餅的，我們正在排隊要買旗魚黑輪時候，可莉餅老闆態度就很差的叫我們不要排到他這裡來⋯重點是排黑輪的隊伍就是會排到他前面去，再說他自己的客人也是排到隔壁的炒麵去⋯而且他還用警告意味⋯我跟我先生真的傻眼⋯我們也沒很靠近他的攤位就被講成這樣，而且他時不時還叫他旁邊的助手跟我們說⋯⋯希望管委會可以控制攤位動線嗎⋯完全無言排隊的路是大家可以走動的，還要被這樣對待,https://www.google.com/maps/contrib/111241195220988655056/reviews?hl=zh-TW
大東夜市,巫志強,在地嚮導 · 32 則評論 · 339 張相片,3 週前,4 顆星,,https://www.google.com/maps/contrib/113902117558934784733/reviews?hl=zh-TW
大東夜市,yingying,在地嚮導 · 81 則評論 · 571 張相片,3 週前,4 顆星,,https://www.google.com/maps/contrib/113638802278872650331/reviews?hl=zh-TW
大東夜市,莊家玟,"在地嚮導 · 125 則評論 · 1,717 張相片",3 週前,5 顆星,夜市還挺大的，吃的東西不少！只是找停車場需要耗費一些時間，只能走遠一點！,https://www.google.com/maps/contrib/106032531087381795091/reviews?hl=zh-TW
大東夜市,Vinh Phat,在地嚮導 · 31 則評論 · 587 張相片,3 週前,5 顆星,,https://www.google.com/maps/contrib/112423301793130119630/reviews?hl=zh-TW
大東夜市,Lin Yang,8 則評論 · 3 張相片,3 週前,5 顆星,,https://www.google.com/maps/contrib/101775541334000189623/reviews?hl=zh-TW
大東夜市,Richard Tsai,在地嚮導 · 137 則評論 · 206 張相片,3 週前,4 顆星,,https://www.google.com/maps/contrib/101203984350679230909/reviews?hl=zh-TW
大東夜市,大前田長五郎,在地嚮導 · 133 則評論 · 106 張相片,3 週前,5 顆星,比武聖夜市還要擁擠很多，裡面有的店家其他夜市也有，應該是大武花裡面墊底的了。 這家雞排好吃！,https://www.google.com/maps/contrib/107942390891629644540/reviews?hl=zh-TW
